epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.691,6.80947,14.0134,7.76849,0.76027,0.0416,0.02105,0.00763,4.99934,7.68454,6.3555,0.00333249,0.00333249,0.00333249
2,1073.98,4.71025,8.5315,5.31772,0.28706,0.14367,0.1116,0.05495,3.78476,5.571,4.80283,0.00659983,0.00659983,0.00659983
3,1589.58,3.78946,6.07601,4.30589,0.58458,0.28186,0.23919,0.13967,3.00266,4.17263,4.05726,0.00980117,0.00980117,0.00980117
4,2084.53,3.37213,4.87976,3.82849,0.55425,0.3506,0.37564,0.25982,2.56417,3.25078,3.49919,0.009703,0.009703,0.009703
5,2556.68,3.08964,4.08429,3.51755,0.69986,0.40966,0.46089,0.31795,2.37984,2.73842,3.28282,0.009604,0.009604,0.009604
6,3029.65,2.90104,3.61356,3.32683,0.53901,0.52271,0.52824,0.3691,2.22292,2.38081,3.10686,0.009505,0.009505,0.009505
7,3509.11,2.78154,3.27397,3.18735,0.63594,0.55257,0.59041,0.41116,2.11029,2.16309,2.93594,0.009406,0.009406,0.009406
8,4013.96,2.68881,3.05679,3.08656,0.58998,0.61765,0.61592,0.42575,2.06743,1.99794,2.91329,0.009307,0.009307,0.009307
9,4548.18,2.61813,2.88972,3.02273,0.62663,0.62419,0.64404,0.4523,1.98564,1.85289,2.8102,0.009208,0.009208,0.009208
10,5069.34,2.5484,2.75809,2.96425,0.68913,0.66259,0.67896,0.48818,1.90078,1.68664,2.71309,0.009109,0.009109,0.009109
11,5548.14,2.50796,2.66193,2.92095,0.68723,0.66392,0.68594,0.49596,1.85706,1.6755,2.65199,0.00901,0.00901,0.00901
12,6030.57,2.43399,2.55848,2.85473,0.71912,0.69185,0.724,0.51388,1.82029,1.5708,2.61068,0.008911,0.008911,0.008911
13,6516.06,2.40076,2.47825,2.82227,0.71163,0.68815,0.72026,0.52063,1.77004,1.60288,2.5924,0.008812,0.008812,0.008812
14,7008.48,2.37217,2.40753,2.78302,0.786,0.71008,0.75624,0.5448,1.76731,1.46865,2.55147,0.008713,0.008713,0.008713
15,7488.01,2.3278,2.35278,2.74267,0.76357,0.71107,0.75712,0.55316,1.6778,1.39042,2.48759,0.008614,0.008614,0.008614
16,7969.47,2.30449,2.30088,2.72334,0.76651,0.72803,0.77053,0.56654,1.67215,1.40151,2.47744,0.008515,0.008515,0.008515
17,8453.22,2.28245,2.24802,2.69811,0.78339,0.73094,0.77014,0.57102,1.63887,1.33963,2.44993,0.008416,0.008416,0.008416
18,8935.79,2.25329,2.22074,2.68474,0.77677,0.73722,0.77906,0.57584,1.61298,1.34315,2.42778,0.008317,0.008317,0.008317
19,9420.46,2.2246,2.17726,2.65328,0.78844,0.74216,0.78904,0.58273,1.60169,1.32281,2.40624,0.008218,0.008218,0.008218
20,9913.83,2.21274,2.1442,2.64765,0.76017,0.74433,0.79283,0.58808,1.57766,1.31689,2.39271,0.008119,0.008119,0.008119
21,10436.6,2.17928,2.10047,2.61965,0.82441,0.75815,0.81236,0.59925,1.57612,1.28184,2.38878,0.00802,0.00802,0.00802
22,10942.9,2.18155,2.0946,2.61285,0.81977,0.75544,0.80715,0.60814,1.55406,1.26505,2.37526,0.007921,0.007921,0.007921
23,11444.6,2.14932,2.05893,2.58826,0.84957,0.76023,0.82485,0.61609,1.53393,1.22675,2.35105,0.007822,0.007822,0.007822
24,11931,2.12458,1.9981,2.55827,0.80922,0.77685,0.8232,0.61667,1.53675,1.20345,2.35186,0.007723,0.007723,0.007723
25,12411.6,2.12196,1.97491,2.55522,0.78594,0.78349,0.82226,0.6239,1.51515,1.18765,2.32758,0.007624,0.007624,0.007624
26,12918.3,2.10453,1.97836,2.54795,0.80519,0.78397,0.82979,0.62611,1.5179,1.17334,2.33029,0.007525,0.007525,0.007525
27,13451.5,2.09476,1.94676,2.53767,0.83428,0.77019,0.8273,0.62014,1.50299,1.16618,2.31172,0.007426,0.007426,0.007426
28,13965.7,2.07369,1.92819,2.51913,0.82192,0.79317,0.84432,0.63223,1.48819,1.14432,2.30283,0.007327,0.007327,0.007327
