epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7667.3,0.83882,0.68927,1.05571,0.84522,0.78225,0.81432,0.59398,0.80201,0.60595,1.19394,0.005842,0.005842,0.005842
44,7847.89,0.83411,0.68695,1.05167,0.85789,0.76566,0.81212,0.5932,0.80337,0.60525,1.19743,0.005743,0.005743,0.005743
45,8028.44,0.82782,0.68149,1.04764,0.8295,0.78451,0.81312,0.59432,0.79834,0.60127,1.18985,0.005644,0.005644,0.005644
46,8209.08,0.8267,0.68178,1.04715,0.82309,0.78589,0.81296,0.59347,0.79789,0.60146,1.18949,0.005545,0.005545,0.005545
47,8389.67,0.82025,0.67328,1.04439,0.83374,0.79085,0.81467,0.59443,0.79593,0.59952,1.18673,0.005446,0.005446,0.005446
48,8569.15,0.81831,0.67443,1.04295,0.82799,0.7926,0.81608,0.59595,0.7959,0.60094,1.18606,0.005347,0.005347,0.005347
49,8748.78,0.81323,0.66618,1.04023,0.81993,0.79058,0.81616,0.5963,0.79304,0.5994,1.18368,0.005248,0.005248,0.005248
50,8928.81,0.80776,0.66805,1.03568,0.82244,0.7782,0.81467,0.59602,0.79294,0.5978,1.18436,0.005149,0.005149,0.005149
51,9107.49,0.7977,0.66585,1.03409,0.84667,0.77131,0.81503,0.59467,0.79467,0.59797,1.18757,0.00505,0.00505,0.00505
52,9287.39,0.79653,0.6633,1.03403,0.83158,0.78736,0.818,0.5958,0.79405,0.59586,1.18775,0.004951,0.004951,0.004951
53,9467.12,0.7953,0.65788,1.03022,0.80969,0.79964,0.81851,0.59758,0.79151,0.59469,1.18619,0.004852,0.004852,0.004852
54,9646.94,0.79593,0.66286,1.03307,0.82507,0.79652,0.81861,0.59856,0.7891,0.5924,1.184,0.004753,0.004753,0.004753
55,9826.04,0.79099,0.65422,1.02949,0.82425,0.79455,0.81839,0.59913,0.78828,0.59152,1.18328,0.004654,0.004654,0.004654
56,10006.6,0.78635,0.65063,1.02652,0.82579,0.7912,0.81886,0.60005,0.78657,0.59012,1.18179,0.004555,0.004555,0.004555
57,10186.7,0.7822,0.64858,1.02604,0.83449,0.79025,0.81922,0.60151,0.78573,0.58865,1.18233,0.004456,0.004456,0.004456
58,10367,0.7829,0.6465,1.02538,0.84975,0.78673,0.81917,0.60291,0.78464,0.58858,1.18128,0.004357,0.004357,0.004357
59,10547.1,0.77727,0.64339,1.02124,0.84651,0.78926,0.81979,0.60573,0.78322,0.58798,1.17976,0.004258,0.004258,0.004258
60,10726.4,0.77149,0.64112,1.0187,0.84181,0.78791,0.82009,0.60698,0.78185,0.58714,1.17824,0.004159,0.004159,0.004159
61,10906.7,0.77259,0.64228,1.02003,0.8465,0.78744,0.81955,0.60645,0.78179,0.58732,1.17772,0.00406,0.00406,0.00406
62,11086.8,0.76801,0.6357,1.01829,0.85387,0.7854,0.82122,0.60637,0.78171,0.58756,1.1772,0.003961,0.003961,0.003961
63,11265.6,0.76031,0.63109,1.01306,0.84456,0.78898,0.82152,0.60691,0.78145,0.58647,1.17663,0.003862,0.003862,0.003862
64,11447.5,0.76101,0.63411,1.01461,0.83194,0.79678,0.82188,0.6052,0.78052,0.58595,1.1756,0.003763,0.003763,0.003763
65,11628.4,0.75182,0.62727,1.01215,0.82762,0.8005,0.82355,0.60538,0.78024,0.58477,1.17592,0.003664,0.003664,0.003664
66,11807.1,0.75385,0.62557,1.01121,0.82738,0.79883,0.82353,0.60603,0.77999,0.58391,1.1763,0.003565,0.003565,0.003565
67,11987.7,0.74772,0.62424,1.00918,0.82683,0.79911,0.8238,0.60688,0.77956,0.5833,1.17651,0.003466,0.003466,0.003466
68,12167.2,0.74473,0.62325,1.00662,0.83271,0.79945,0.82424,0.60697,0.77964,0.58249,1.17692,0.003367,0.003367,0.003367
69,12347.6,0.74555,0.62025,1.00586,0.83256,0.79912,0.82404,0.60732,0.77933,0.58181,1.17673,0.003268,0.003268,0.003268
70,12526.7,0.73512,0.61529,1.00026,0.83445,0.79839,0.82433,0.6079,0.77904,0.5817,1.17646,0.003169,0.003169,0.003169
71,12705.9,0.74105,0.61851,1.00541,0.83351,0.7993,0.82427,0.60763,0.77873,0.58111,1.17618,0.00307,0.00307,0.00307
72,12886.1,0.73293,0.60902,0.99703,0.83777,0.80095,0.826,0.60787,0.77824,0.58038,1.17618,0.002971,0.002971,0.002971
73,13063.9,0.73042,0.61006,1.00108,0.83801,0.80094,0.82601,0.60758,0.77757,0.57964,1.17539,0.002872,0.002872,0.002872
74,13244,0.72992,0.60946,0.99694,0.83933,0.80001,0.82601,0.60756,0.77724,0.57888,1.17535,0.002773,0.002773,0.002773
75,13423.6,0.72561,0.60931,0.99563,0.83905,0.79969,0.82656,0.60883,0.77719,0.57848,1.17566,0.002674,0.002674,0.002674
76,13603.2,0.72153,0.60601,0.99524,0.83889,0.79967,0.82696,0.60893,0.7768,0.5781,1.17535,0.002575,0.002575,0.002575
77,13782.1,0.7151,0.60004,0.9919,0.84084,0.79946,0.82805,0.60974,0.77608,0.57803,1.17473,0.002476,0.002476,0.002476
78,13961.6,0.70994,0.59905,0.99204,0.84119,0.80189,0.8288,0.61014,0.77577,0.57799,1.17443,0.002377,0.002377,0.002377
79,14139.7,0.71399,0.60035,0.99176,0.84422,0.80091,0.82909,0.61088,0.77526,0.57761,1.17383,0.002278,0.002278,0.002278
80,14317.5,0.70342,0.5969,0.98476,0.84339,0.8012,0.82925,0.61112,0.77474,0.5771,1.17364,0.002179,0.002179,0.002179
81,14496.2,0.70523,0.59422,0.98607,0.84382,0.79919,0.82967,0.61108,0.77446,0.57673,1.17348,0.00208,0.00208,0.00208
82,14674.7,0.69848,0.58855,0.98523,0.84527,0.79642,0.82942,0.61078,0.77437,0.57672,1.17332,0.001981,0.001981,0.001981
83,14855,0.6991,0.58836,0.98478,0.84673,0.79506,0.82926,0.61106,0.77417,0.57637,1.17344,0.001882,0.001882,0.001882
84,15034,0.69483,0.58885,0.98475,0.84696,0.7949,0.82931,0.61117,0.77399,0.57639,1.1732,0.001783,0.001783,0.001783
85,15214.1,0.68775,0.58138,0.97934,0.84695,0.79426,0.82981,0.61141,0.77408,0.57618,1.1733,0.001684,0.001684,0.001684
86,15395.7,0.6878,0.58147,0.97643,0.84616,0.79531,0.8298,0.61167,0.77393,0.57586,1.17362,0.001585,0.001585,0.001585
87,15576.1,0.68604,0.58189,0.97742,0.84757,0.79479,0.82965,0.61147,0.77378,0.57554,1.17358,0.001486,0.001486,0.001486
88,15756.8,0.68382,0.5783,0.97527,0.84696,0.79526,0.82947,0.61351,0.77362,0.57578,1.17364,0.001387,0.001387,0.001387
89,15939.1,0.6827,0.58374,0.97742,0.84708,0.79557,0.8299,0.61331,0.77336,0.57585,1.1733,0.001288,0.001288,0.001288
90,16120.7,0.67296,0.57602,0.97228,0.84527,0.79302,0.82748,0.61177,0.77323,0.57581,1.17326,0.001189,0.001189,0.001189
91,16302.7,0.64997,0.5497,0.95569,0.84727,0.79304,0.8276,0.61225,0.77281,0.57569,1.17261,0.00109,0.00109,0.00109
92,16483.3,0.63965,0.54429,0.95382,0.84108,0.79258,0.82647,0.61214,0.77258,0.57594,1.1722,0.000991,0.000991,0.000991
93,16663.9,0.63083,0.53723,0.9472,0.83965,0.793,0.8268,0.6121,0.77212,0.57541,1.17168,0.000892,0.000892,0.000892
94,16844.6,0.62597,0.53368,0.94481,0.83944,0.79305,0.82656,0.61203,0.77182,0.57551,1.17115,0.000793,0.000793,0.000793
95,17026.7,0.61985,0.53134,0.94265,0.83986,0.79283,0.82675,0.61203,0.77135,0.57566,1.17023,0.000694,0.000694,0.000694
96,17207.5,0.61595,0.52657,0.93835,0.83679,0.79372,0.82629,0.61194,0.77094,0.5755,1.16968,0.000595,0.000595,0.000595
97,17388.1,0.60841,0.52465,0.93705,0.84014,0.78567,0.82556,0.61179,0.77084,0.57596,1.16942,0.000496,0.000496,0.000496
98,17570.2,0.60418,0.52114,0.93279,0.84011,0.78544,0.82568,0.61087,0.77073,0.57583,1.16929,0.000397,0.000397,0.000397
99,17751.5,0.60176,0.51726,0.93078,0.83835,0.78597,0.82554,0.61212,0.77046,0.5758,1.1691,0.000298,0.000298,0.000298
100,17932.8,0.59574,0.51479,0.92925,0.83795,0.78668,0.82558,0.6126,0.77028,0.57583,1.16895,0.000199,0.000199,0.000199
