epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.896,3.47662,5.16239,3.79864,0.66658,0.1187,0.06252,0.02081,2.67428,3.5997,3.22017,0.00333249,0.00333249,0.00333249
2,802.736,2.42898,3.57918,2.72086,0.57512,0.23532,0.22655,0.1213,1.85169,2.44903,2.39638,0.00659983,0.00659983,0.00659983
3,1205.56,1.9437,2.68521,2.22333,0.68496,0.36582,0.38868,0.23167,1.55315,1.85976,2.06058,0.00980117,0.00980117,0.00980117
4,1603.44,1.71573,2.19461,1.97412,0.7043,0.45183,0.51817,0.33511,1.31704,1.4685,1.78262,0.009703,0.009703,0.009703
5,2000.02,1.56018,1.85235,1.8072,0.66898,0.57691,0.59278,0.39421,1.18325,1.27877,1.6333,0.009604,0.009604,0.009604
6,2400.37,1.45047,1.65133,1.69697,0.70266,0.6065,0.60652,0.40516,1.10174,1.17048,1.54461,0.009505,0.009505,0.009505
7,2811.93,1.37266,1.50768,1.61382,0.67536,0.67505,0.67691,0.45518,1.07883,1.07489,1.50457,0.009406,0.009406,0.009406
8,3215.61,1.32407,1.42175,1.56069,0.72678,0.64091,0.69113,0.47499,1.015,0.99101,1.44001,0.009307,0.009307,0.009307
9,3597.49,1.2833,1.35035,1.5192,0.69645,0.67981,0.72104,0.49747,0.9434,0.94453,1.37088,0.009208,0.009208,0.009208
10,4029.35,1.24345,1.28945,1.48249,0.77433,0.69999,0.74978,0.52747,0.94081,0.89103,1.35615,0.009109,0.009109,0.009109
11,4441.99,1.22117,1.25368,1.45886,0.79562,0.70765,0.74983,0.53453,0.91867,0.87449,1.33283,0.00901,0.00901,0.00901
12,4841.58,1.18955,1.20759,1.4263,0.75456,0.73057,0.7799,0.54521,0.91758,0.81549,1.32472,0.008911,0.008911,0.008911
13,5230.09,1.17091,1.16853,1.40899,0.72337,0.75253,0.77882,0.55341,0.87869,0.81331,1.29736,0.008812,0.008812,0.008812
14,5656.54,1.15466,1.1462,1.39025,0.78874,0.74211,0.79423,0.55709,0.85139,0.784,1.272,0.008713,0.008713,0.008713
15,6053.58,1.12971,1.11294,1.36868,0.8099,0.74441,0.80228,0.58265,0.82392,0.74095,1.24604,0.008614,0.008614,0.008614
16,6459.67,1.11653,1.08685,1.35508,0.78838,0.7539,0.80261,0.58461,0.82506,0.74192,1.2471,0.008515,0.008515,0.008515
17,6849.64,1.10372,1.06849,1.34078,0.7987,0.76886,0.81826,0.58873,0.79829,0.72334,1.2229,0.008416,0.008416,0.008416
18,7258.39,1.09191,1.05691,1.3355,0.79253,0.77436,0.81817,0.58717,0.78972,0.71449,1.20824,0.008317,0.008317,0.008317
19,7665.84,1.079,1.03917,1.32174,0.82761,0.75659,0.82127,0.59685,0.78698,0.70354,1.20832,0.008218,0.008218,0.008218
20,8065.19,1.07513,1.0272,1.31983,0.82499,0.77747,0.82419,0.59825,0.77482,0.69118,1.19806,0.008119,0.008119,0.008119
21,8462.61,1.05687,1.01016,1.30419,0.82122,0.77512,0.83194,0.6094,0.76679,0.69495,1.19334,0.00802,0.00802,0.00802
22,8857.91,1.05691,1.00033,1.29804,0.82276,0.78108,0.82826,0.61136,0.75468,0.67507,1.18478,0.007921,0.007921,0.007921
23,9269.91,1.0434,0.98629,1.28756,0.8182,0.79782,0.84132,0.61587,0.74491,0.67533,1.17079,0.007822,0.007822,0.007822
24,9672.26,1.03034,0.96412,1.27539,0.82834,0.79336,0.84401,0.62293,0.7395,0.65442,1.17021,0.007723,0.007723,0.007723
25,10072.1,1.02572,0.95523,1.27043,0.81341,0.79363,0.83603,0.61767,0.73754,0.64461,1.16088,0.007624,0.007624,0.007624
26,10473,1.0174,0.95341,1.26601,0.82786,0.80991,0.85014,0.63137,0.73234,0.63825,1.15458,0.007525,0.007525,0.007525
27,10891,1.01337,0.94161,1.26276,0.84116,0.80773,0.84847,0.63068,0.72912,0.63487,1.15725,0.007426,0.007426,0.007426
