epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17978.6,0.92552,0.80637,1.20298,0.87747,0.85407,0.88618,0.68944,0.64279,0.51884,1.06207,0.005842,0.005842,0.005842
44,18394.8,0.92376,0.80291,1.19681,0.8772,0.85713,0.88633,0.68891,0.64185,0.51813,1.06113,0.005743,0.005743,0.005743
45,18803.8,0.92293,0.80211,1.20042,0.87588,0.85296,0.8871,0.68977,0.64101,0.51765,1.06016,0.005644,0.005644,0.005644
46,19217.6,0.92167,0.79743,1.19753,0.87479,0.85422,0.88744,0.69077,0.64008,0.51678,1.05913,0.005545,0.005545,0.005545
47,19627.6,0.91555,0.79604,1.19518,0.87964,0.85317,0.88834,0.69029,0.63883,0.51622,1.05769,0.005446,0.005446,0.005446
48,20044.6,0.91087,0.787,1.19043,0.88031,0.8532,0.88832,0.68981,0.63782,0.51554,1.0567,0.005347,0.005347,0.005347
49,20459.2,0.90673,0.78166,1.18541,0.87951,0.85275,0.88781,0.68889,0.637,0.51514,1.05592,0.005248,0.005248,0.005248
50,20871.2,0.90241,0.78081,1.18344,0.87825,0.85234,0.88738,0.69074,0.63603,0.51479,1.05507,0.005149,0.005149,0.005149
51,21282.4,0.90353,0.77924,1.18343,0.87687,0.85254,0.88745,0.69067,0.63543,0.51402,1.05422,0.00505,0.00505,0.00505
52,21703.4,0.89712,0.77546,1.18192,0.87685,0.85162,0.88847,0.6915,0.63483,0.51384,1.05335,0.004951,0.004951,0.004951
53,22114.7,0.89437,0.77039,1.17633,0.87805,0.85009,0.88782,0.69114,0.63376,0.51331,1.05223,0.004852,0.004852,0.004852
54,22529,0.89208,0.76942,1.17721,0.86699,0.85675,0.88792,0.69235,0.63292,0.51272,1.05121,0.004753,0.004753,0.004753
55,22940.2,0.88667,0.76784,1.17171,0.87453,0.85379,0.88926,0.69292,0.63196,0.51173,1.05028,0.004654,0.004654,0.004654
56,23356.6,0.88262,0.76177,1.16878,0.87552,0.85578,0.88988,0.6946,0.63119,0.51121,1.04918,0.004555,0.004555,0.004555
57,23776.2,0.87932,0.75584,1.16859,0.87554,0.85645,0.88935,0.6945,0.62997,0.5107,1.04826,0.004456,0.004456,0.004456
58,24197.1,0.87841,0.75119,1.16627,0.87592,0.85879,0.88912,0.69547,0.62906,0.51018,1.04729,0.004357,0.004357,0.004357
59,24613.4,0.87634,0.75268,1.16351,0.8736,0.85951,0.88913,0.69583,0.62781,0.50936,1.04608,0.004258,0.004258,0.004258
60,25028.9,0.87037,0.74223,1.15834,0.87686,0.85552,0.88999,0.69737,0.62684,0.5088,1.04517,0.004159,0.004159,0.004159
61,25442.5,0.86726,0.74591,1.15723,0.87956,0.85726,0.89039,0.69705,0.6259,0.50848,1.04412,0.00406,0.00406,0.00406
62,25869,0.86768,0.74077,1.15736,0.88232,0.85655,0.89081,0.69794,0.625,0.50731,1.04335,0.003961,0.003961,0.003961
63,26281.2,0.8595,0.73903,1.15432,0.88129,0.8575,0.89112,0.69841,0.62432,0.50678,1.04269,0.003862,0.003862,0.003862
64,26695,0.86247,0.73788,1.15403,0.88309,0.85712,0.89147,0.69962,0.62359,0.50633,1.04182,0.003763,0.003763,0.003763
65,27112.2,0.85317,0.73223,1.14945,0.88311,0.85683,0.89087,0.70013,0.62259,0.50597,1.04106,0.003664,0.003664,0.003664
66,27523.4,0.85189,0.73099,1.14785,0.88398,0.85782,0.89176,0.7002,0.62207,0.50552,1.0403,0.003565,0.003565,0.003565
67,27929.4,0.84699,0.72441,1.14328,0.88059,0.85908,0.89203,0.69946,0.62181,0.50543,1.03995,0.003466,0.003466,0.003466
68,28336.4,0.84373,0.72276,1.14349,0.87974,0.85705,0.8919,0.70084,0.62114,0.50549,1.03962,0.003367,0.003367,0.003367
69,28746.9,0.84005,0.71956,1.1385,0.88281,0.8546,0.89202,0.70147,0.62056,0.5051,1.03912,0.003268,0.003268,0.003268
70,29159.4,0.83352,0.71662,1.1323,0.88038,0.85702,0.89224,0.70249,0.61987,0.50458,1.03839,0.003169,0.003169,0.003169
71,29572.5,0.83199,0.70956,1.13339,0.8842,0.85367,0.89237,0.7024,0.61922,0.50392,1.03782,0.00307,0.00307,0.00307
72,29985,0.82775,0.70627,1.13193,0.88303,0.85347,0.89233,0.70289,0.61868,0.50349,1.03722,0.002971,0.002971,0.002971
73,30404.4,0.8299,0.71063,1.12957,0.88153,0.85472,0.89193,0.70214,0.61813,0.50347,1.03636,0.002872,0.002872,0.002872
74,30821.2,0.82561,0.70394,1.12932,0.87934,0.85478,0.89215,0.70199,0.61765,0.50341,1.03586,0.002773,0.002773,0.002773
75,31234.8,0.81873,0.70175,1.12444,0.8813,0.85686,0.89348,0.70321,0.61708,0.50308,1.03555,0.002674,0.002674,0.002674
