epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11138.3,0.93534,0.79999,1.1848,0.86715,0.83824,0.87656,0.67295,0.68064,0.52997,1.06942,0.005842,0.005842,0.005842
44,11395.4,0.93433,0.80396,1.18438,0.8632,0.84,0.87634,0.67536,0.67974,0.52926,1.06841,0.005743,0.005743,0.005743
45,11653.6,0.93116,0.79986,1.18288,0.86679,0.8394,0.87779,0.67451,0.679,0.52836,1.06768,0.005644,0.005644,0.005644
46,11913.6,0.92624,0.79703,1.18107,0.87166,0.83881,0.8783,0.67474,0.67841,0.52756,1.0669,0.005545,0.005545,0.005545
47,12172.6,0.92337,0.7934,1.1768,0.87596,0.83927,0.87985,0.67577,0.67782,0.52695,1.06614,0.005446,0.005446,0.005446
48,12430,0.92256,0.79007,1.17747,0.87447,0.8392,0.88081,0.67625,0.67683,0.52555,1.0651,0.005347,0.005347,0.005347
49,12689.8,0.91508,0.78296,1.17317,0.87826,0.83898,0.88066,0.67664,0.67618,0.52454,1.06413,0.005248,0.005248,0.005248
50,12946.9,0.91299,0.78507,1.17106,0.87609,0.84145,0.88138,0.67738,0.67502,0.52348,1.06296,0.005149,0.005149,0.005149
51,13203.8,0.90966,0.77454,1.16787,0.87403,0.84459,0.88181,0.67847,0.67426,0.52225,1.06194,0.00505,0.00505,0.00505
52,13459.6,0.90901,0.77864,1.16572,0.88567,0.84349,0.88297,0.67848,0.67347,0.52154,1.06087,0.004951,0.004951,0.004951
53,13717.4,0.90732,0.77395,1.16296,0.88224,0.84509,0.88347,0.67909,0.67274,0.52082,1.05975,0.004852,0.004852,0.004852
54,13973.7,0.90405,0.76836,1.16185,0.88405,0.84355,0.88447,0.67963,0.67195,0.51969,1.05854,0.004753,0.004753,0.004753
55,14231.8,0.89554,0.76502,1.15574,0.88057,0.84472,0.88466,0.67911,0.6712,0.51859,1.05732,0.004654,0.004654,0.004654
56,14489.8,0.89508,0.76281,1.15498,0.88279,0.84504,0.88509,0.67922,0.67043,0.51795,1.05631,0.004555,0.004555,0.004555
57,14748.2,0.88991,0.75727,1.15184,0.88283,0.8453,0.88577,0.68022,0.66956,0.51756,1.05525,0.004456,0.004456,0.004456
58,15004.8,0.89219,0.76021,1.15458,0.88208,0.84581,0.88666,0.68154,0.66831,0.51659,1.05392,0.004357,0.004357,0.004357
59,15266.2,0.88305,0.75024,1.14689,0.88025,0.84884,0.88703,0.68139,0.66743,0.51592,1.05297,0.004258,0.004258,0.004258
60,15525,0.88172,0.75075,1.14744,0.87631,0.84527,0.88404,0.68164,0.66678,0.51543,1.0521,0.004159,0.004159,0.004159
61,15782.4,0.87472,0.74413,1.1406,0.87872,0.84457,0.88461,0.68224,0.66623,0.51521,1.05138,0.00406,0.00406,0.00406
62,16043.1,0.8757,0.74434,1.14208,0.87365,0.84807,0.88559,0.68245,0.66543,0.51457,1.05041,0.003961,0.003961,0.003961
63,16299.5,0.87011,0.73933,1.1382,0.87335,0.84877,0.88627,0.68384,0.66467,0.51379,1.04943,0.003862,0.003862,0.003862
64,16557.5,0.87012,0.74106,1.13769,0.8726,0.85048,0.88602,0.68414,0.66382,0.51306,1.04832,0.003763,0.003763,0.003763
65,16815.9,0.87032,0.73746,1.13893,0.87244,0.85088,0.88585,0.68462,0.66289,0.51247,1.04737,0.003664,0.003664,0.003664
66,17074.2,0.86376,0.73477,1.13484,0.87276,0.85064,0.88736,0.68533,0.66211,0.5117,1.04658,0.003565,0.003565,0.003565
67,17334.9,0.86363,0.73295,1.13316,0.87285,0.84964,0.88691,0.68543,0.66167,0.51128,1.04604,0.003466,0.003466,0.003466
68,17595.9,0.85695,0.7271,1.12838,0.8707,0.84914,0.88747,0.68486,0.66104,0.51056,1.04526,0.003367,0.003367,0.003367
69,17854.4,0.85564,0.7285,1.1281,0.87252,0.8487,0.88878,0.68639,0.66059,0.51017,1.04439,0.003268,0.003268,0.003268
70,18113.4,0.85129,0.7199,1.12411,0.87299,0.8487,0.88955,0.68835,0.65983,0.50992,1.04342,0.003169,0.003169,0.003169
71,18371.9,0.84822,0.72056,1.1232,0.87357,0.84883,0.89009,0.68759,0.65917,0.50939,1.04263,0.00307,0.00307,0.00307
72,18630.6,0.84784,0.71631,1.12253,0.87319,0.84879,0.89041,0.6874,0.65873,0.50916,1.04183,0.002971,0.002971,0.002971
73,18890.8,0.84078,0.71476,1.11981,0.87494,0.84836,0.89115,0.68833,0.65842,0.50859,1.04129,0.002872,0.002872,0.002872
74,19147.7,0.84217,0.71316,1.11962,0.87721,0.84808,0.89171,0.68811,0.65796,0.50814,1.04055,0.002773,0.002773,0.002773
75,19408,0.83735,0.70824,1.11715,0.87847,0.84729,0.89216,0.68873,0.65748,0.50786,1.03992,0.002674,0.002674,0.002674
76,19666.5,0.83157,0.70161,1.11413,0.88299,0.84576,0.89244,0.68859,0.65692,0.50748,1.03916,0.002575,0.002575,0.002575
77,19925.5,0.8303,0.70231,1.10962,0.88386,0.84478,0.89218,0.69009,0.65645,0.50705,1.03841,0.002476,0.002476,0.002476
78,20184,0.82784,0.70088,1.10981,0.88476,0.84377,0.89269,0.68977,0.65587,0.50674,1.03762,0.002377,0.002377,0.002377
