epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.048,2.80711,3.10254,2.86434,0.71431,0.36016,0.35902,0.1843,1.89061,1.83259,2.21726,0.00333249,0.00333249,0.00333249
2,596.327,1.84561,1.77967,1.85657,0.63161,0.57683,0.57437,0.34398,1.47775,1.34181,1.75355,0.00659983,0.00659983,0.00659983
3,889.819,1.59095,1.42641,1.61442,0.66834,0.63037,0.62964,0.40731,1.29544,1.13233,1.58501,0.00980117,0.00980117,0.00980117
4,1183.06,1.44354,1.24001,1.48756,0.77279,0.65135,0.69379,0.45356,1.16272,1.00688,1.48715,0.009703,0.009703,0.009703
5,1475.67,1.3215,1.10574,1.39675,0.76757,0.70245,0.71756,0.48681,1.07987,0.92302,1.41322,0.009604,0.009604,0.009604
6,1768.15,1.24694,1.03241,1.34766,0.7798,0.72654,0.75757,0.5165,1.03533,0.83746,1.37782,0.009505,0.009505,0.009505
7,2060.01,1.20003,0.9853,1.31206,0.7708,0.73315,0.74617,0.51997,0.99913,0.81123,1.34294,0.009406,0.009406,0.009406
8,2352.44,1.15765,0.94685,1.28037,0.75973,0.75478,0.76825,0.53683,0.98092,0.7615,1.33315,0.009307,0.009307,0.009307
9,2644.76,1.12832,0.91633,1.26322,0.82313,0.73984,0.77934,0.55603,0.9444,0.74506,1.30275,0.009208,0.009208,0.009208
10,2937.62,1.1011,0.89224,1.24195,0.77134,0.77002,0.78967,0.55734,0.92205,0.73441,1.279,0.009109,0.009109,0.009109
11,3230.66,1.079,0.86948,1.22835,0.79101,0.76397,0.78842,0.56325,0.91543,0.71281,1.27362,0.00901,0.00901,0.00901
12,3522.07,1.05786,0.8516,1.21723,0.83195,0.78599,0.8055,0.58272,0.87894,0.70488,1.23952,0.008911,0.008911,0.008911
13,3813.55,1.04126,0.84,1.20337,0.79028,0.78209,0.79514,0.57239,0.86888,0.68815,1.22669,0.008812,0.008812,0.008812
14,4105.88,1.02789,0.82741,1.19598,0.79553,0.78045,0.79556,0.58456,0.86599,0.66584,1.23487,0.008713,0.008713,0.008713
15,4397.02,1.01164,0.81426,1.18573,0.83373,0.78104,0.80907,0.5919,0.85717,0.66356,1.2207,0.008614,0.008614,0.008614
16,4689.95,1.00411,0.80805,1.17935,0.82413,0.78936,0.82288,0.59334,0.85324,0.65172,1.20916,0.008515,0.008515,0.008515
17,4982.02,0.99274,0.79446,1.17215,0.83977,0.78296,0.81811,0.59627,0.84911,0.65261,1.20847,0.008416,0.008416,0.008416
